Account__c|Product__c|Daily_Sales__c|MTD_Sales__c|QTD_Sales__c|FYTD_Sales__c
100701|00517-0381-05|0|0|285.2|285.2
100701|00517-0720-01|0|0|305.68|305.68
100701|00517-0740-20|0|0|453.6|453.6
100701|00517-2340-25|0|0|2640|2640
100701|00517-2502-10|0|0|369.5|369.5
100701|00517-6560-05|0|0|57097.95|57097.95
100701|00517-6710-10|711.1|711.1|12416.9|12416.9
100701|00517-8005-25|756.08|756.08|9829.04|9829.04
100701|00517-9120-25|0|0|200|200
100772|00517-0650-01|0|0|11199.16|11199.16
100772|00517-0710-01|0|0|1031.32|1031.32
100772|00517-0720-01|0|0|420.31|420.31
100772|00517-0740-20|0|0|1360.8|1360.8
100772|00517-1001-25|0|0|187.02|187.02
100772|00517-4810-25|0|0|330.75|330.75
100772|00517-7604-25|0|0|412.5|412.5
100772|00517-9120-25|0|0|600|600
100772|00517-9191-25|200|200|800|800
100772|00517-9702-25|0|0|179.14|179.14
100788|00517-0381-05|285.2|285.2|1140.8|1140.8
100788|00517-0710-01|0|0|515.66|515.66
100788|00517-0720-01|0|0|1872.29|1872.29
100788|00517-0740-20|0|0|1814.4|1814.4
100788|00517-1020-25|0|0|2250|2250
100788|00517-2340-10|0|0|540|540
100788|00517-7315-25|0|0|1350|1350
100788|00517-7504-25|285|285|285|285
100788|00517-7604-25|0|0|550|550
100792|00517-1004-25|0|0|252.25|252.25
100792|00517-2310-05|0|0|5000|5000
100797|00517-0650-01|0|0|33385.8|33385.8
100797|00517-0791-01|0|0|458.52|458.52
100797|00517-3030-01|0|0|1500|1500
100797|00517-4002-25|0|0|831|831
100797|00517-6710-10|0|0|437.6|437.6
100797|00517-7315-25|0|0|675|675
100797|00517-7504-25|0|0|4275|4275
100797|00517-9191-25|0|0|1400|1400
100838|00517-0374-05|0|0|6600|6600
100838|00517-0710-01|0|0|4640.94|4640.94
100838|00517-0720-01|0|0|382.1|382.1
100838|00517-1004-25|0|0|114|114
100838|00517-5601-25|0|0|570.75|570.75
100838|00517-6710-10|0|0|109.4|109.4
100838|00517-9305-25|0|0|4623.5|4623.5
100869|00517-0710-01|0|0|3800.54|3800.54
100869|00517-0720-01|0|0|9649|9649
100869|00517-0740-20|453.6|453.6|7610.4|7610.4
100869|00517-1001-25|0|0|381.5|381.5
100869|00517-1004-25|616.22|616.22|1232.44|1232.44
100869|00517-2102-25|0|0|262.5|262.5
100869|00517-2340-10|0|0|546.59|546.59
100869|00517-6560-05|0|0|77343|77343
100869|00517-6710-10|1476.9|1476.9|2023.9|2023.9
100869|00517-7315-25|0|0|5338.75|5338.75
100869|00517-7350-25|0|0|8251.5|8251.5
100869|00517-7504-25|142.5|142.5|570|570
100869|00517-7604-25|0|0|376.75|376.75
100869|00517-9120-25|0|0|200|200
100869|00517-9305-25|0|0|58973.5|58973.5
100869|00517-9702-25|0|0|531|531
100870|00517-0720-01|0|0|94.58|94.58
100870|00517-2051-25|0|0|306|306
100870|00517-2340-10|0|0|330|330
100870|00517-9702-25|0|0|78.09|78.09
100878|00517-0374-05|0|0|2200|2200
100878|00517-0720-01|0|0|725.99|725.99
100878|00517-0740-20|0|0|907.2|907.2
100878|00517-2102-25|262.5|262.5|1312.5|1312.5
100878|00517-9702-25|0|0|179.14|179.14
100888|00517-0381-05|570.4|570.4|1426|1426
100888|00517-0650-01|0|0|8902.88|8902.88
100888|00517-0720-01|0|0|1719.45|1719.45
100888|00517-0740-20|0|0|453.6|453.6
100888|00517-2310-05|360|360|7380|7380
100888|00517-2340-25|0|0|1760|1760
100888|00517-2502-10|0|0|369.5|369.5
100888|00517-4300-01|0|0|11860.56|11860.56
100888|00517-5601-25|0|0|1141.5|1141.5
100888|00517-9702-25|0|0|179.14|179.14
100928|00517-0720-01|0|0|955.25|955.25
100928|00517-0740-20|0|0|453.6|453.6
100928|00517-0955-01|66.84|66.84|289.64|289.64
100928|00517-2340-10|0|0|660|660
100928|00517-5601-25|0|0|1141.5|1141.5
100928|00517-6560-05|0|0|20952|20952
100928|00517-6710-10|0|0|400.4|400.4
100928|00517-9305-25|0|0|2697|2697
101042|00517-0374-05|0|0|3520|3520
101042|00517-2102-25|0|0|1575|1575
101042|00517-4002-25|0|0|415.5|415.5
101042|00517-6710-10|109.4|109.4|109.4|109.4
101042|00517-7504-25|0|0|1852.5|1852.5
101042|00517-7604-25|0|0|4400|4400
101042|00517-9120-25|0|0|400|400
101042|00517-9305-25|0|0|660.5|660.5
101043|00517-0374-05|0|0|730.54|730.54
101043|00517-0602-01|0|0|920.04|920.04
101043|00517-0650-01|0|0|2875|2875
101043|00517-1075-01|0|0|6853.77|6853.77
101043|00517-2340-10|0|0|1200|1200
101043|00517-5601-25|0|0|1412.75|1412.75
101043|00517-6101-25|0|0|3692.56|3692.56
101043|00517-6560-05|1214.85|1214.85|17007.9|17007.9
101043|00517-6710-10|0|0|661|661
101043|00517-9120-25|0|0|189.43|189.43
101043|00517-9305-25|0|0|2642|2642
101044|00517-0740-20|0|0|453.6|453.6
101044|00517-4300-01|0|0|10465.2|10465.2
101044|00517-5601-25|0|0|570.75|570.75
101044|00517-7604-25|0|0|137.5|137.5
101044|00517-9305-25|0|0|1321|1321
101045|00517-0374-05|0|0|1349.3|1349.3
101045|00517-0720-01|0|0|152.84|152.84
101045|00517-0955-01|0|0|579.28|579.28
101045|00517-1001-25|0|0|384.66|384.66
101045|00517-7305-25|0|0|445.25|445.25
101045|00517-9305-25|0|0|2022.75|2022.75
101049|00517-0799-01|0|0|445.2|445.2
101049|00517-2340-99|0|0|13320|13320
101049|00517-9702-25|0|0|210.5|210.5
101050|00517-0374-05|0|0|4400|4400
101050|00517-0650-01|2225.72|2225.72|74561.62|74561.62
101050|00517-0740-20|0|0|2721.6|2721.6
101050|00517-0791-01|0|0|1222.72|1222.72
101050|00517-1004-25|0|0|798|798
101050|00517-2310-05|0|0|45180|45180
101050|00517-2340-10|0|0|9720|9720
101050|00517-4002-25|415.5|415.5|2077.5|2077.5
101050|00517-4300-01|1395.36|1395.36|62791.2|62791.2
101050|00517-4810-25|0|0|992.25|992.25
101050|00517-5601-25|0|0|1141.5|1141.5
101050|00517-7504-25|0|0|1567.5|1567.5
101050|00517-7604-25|0|0|275|275
101050|00517-9120-25|0|0|1000|1000
101050|00517-9702-25|0|0|537.42|537.42
101058|00517-0381-05|1426|1426|9126.4|9126.4
101058|00517-0420-01|0|0|290.46|290.46
101058|00517-0650-01|0|0|1112.86|1112.86
101058|00517-0720-01|0|0|152.84|152.84
101058|00517-1004-25|0|0|228|228
101058|00517-1045-05|0|0|2064|2064
101058|00517-1075-01|0|0|217.58|217.58
101058|00517-2102-25|0|0|1250|1250
101058|00517-2502-10|0|0|739|739
101058|00517-4201-25|0|0|1461|1461
101058|00517-4300-01|4186.08|4186.08|12558.24|12558.24
101058|00517-4810-25|330.75|330.75|1653.75|1653.75
101058|00517-5601-25|0|0|1141.5|1141.5
101058|00517-6101-25|0|0|1846.28|1846.28
101058|00517-6560-05|0|0|40090.05|40090.05
101058|00517-6710-10|0|0|273.5|273.5
101058|00517-7315-25|0|0|1350|1350
101058|00517-7604-25|550|550|4262.5|4262.5
101058|00517-9120-25|0|0|600|600
101058|00517-9191-25|0|0|800|800
101058|00517-9305-25|0|0|67371|67371
101058|00517-9702-25|358.28|358.28|2149.68|2149.68
101069|00517-0420-01|0|0|179.34|179.34
101069|00517-0720-01|0|0|611.36|611.36
101069|00517-0740-20|0|0|1360.8|1360.8
101069|00517-1020-25|0|0|750|750
101069|00517-4810-25|0|0|1323|1323
101069|00517-5601-25|0|0|4486.5|4486.5
101069|00517-9120-25|200|200|2400|2400
101069|00517-9305-25|0|0|5944.5|5944.5
101069|00517-9702-25|0|0|504.9|504.9
101074|00517-0720-01|0|0|802.41|802.41
101074|00517-0740-20|0|0|907.2|907.2
101074|00517-2051-25|0|0|1104|1104
101074|00517-6710-10|0|0|54.7|54.7
101074|00517-9305-25|0|0|1321|1321
101086|00517-0720-01|458.52|458.52|2751.12|2751.12
101086|00517-9120-25|200|200|400|400
101086|00517-9702-25|0|0|168.3|168.3
101095|00517-0374-05|0|0|3080|3080
